leg.no.,hip_angle,knee_angle,hor_length
0,41.000000,115.000000,0.000000
0,39.000000,115.000000,0.100000
0,37.000000,115.000000,0.200000
0,36.000000,115.000000,0.300000
0,34.000000,114.000000,0.400000
0,32.000000,114.000000,0.500000
0,30.000000,114.000000,0.600000
0,29.000000,113.000000,0.700000
0,27.000000,112.000000,0.800000
0,26.000000,112.000000,0.900000
0,24.000000,111.000000,1.000000
0,23.000000,110.000000,1.100000
0,22.000000,109.000000,1.200000
0,20.000000,108.000000,1.300000
0,19.000000,107.000000,1.400000
0,18.000000,106.000000,1.500000
0,17.000000,105.000000,1.600000
0,16.000000,103.000000,1.700000
0,15.000000,102.000000,1.800000
0,14.000000,101.000000,1.900000
0,14.000000,99.000000,2.000000
0,13.000000,98.000000,2.100000
0,12.000000,96.000000,2.200000
0,12.000000,94.000000,2.300000
0,11.000000,92.000000,2.400000
0,11.000000,91.000000,2.500000
0,11.000000,89.000000,2.600000
0,10.000000,87.000000,2.700000
0,10.000000,84.000000,2.799999
0,10.000000,82.000000,2.899999
0,10.000000,80.000000,2.999999
0,10.000000,78.000000,3.099999
0,10.000000,75.000000,3.199999
0,11.000000,72.000000,3.299999
0,11.000000,70.000000,3.399999
0,11.000000,67.000000,3.499999
0,12.000000,64.000000,3.599999
0,12.000000,61.000000,3.699999
0,13.000000,57.000000,3.799999
0,14.000000,54.000000,3.899998
0,15.000000,50.000000,3.999998
0,16.000000,46.000000,4.099998
0,18.000000,41.000000,4.199998
0,19.000000,36.000000,4.299998
0,22.000000,30.000000,4.399998
0,25.000000,22.000000,4.499998
0,31.000000,7.000000,4.599998
