leg.no.,hip_angle,knee_angle,height_from_ground
0,60.000000,174.000000,0.600000
0,51.000000,170.000000,0.700000
0,45.000000,167.000000,0.800000
0,42.000000,165.000000,0.900000
0,39.000000,162.000000,1.000000
0,37.000000,160.000000,1.100000
0,36.000000,158.000000,1.200000
0,35.000000,155.000000,1.300000
0,35.000000,153.000000,1.400000
0,34.000000,151.000000,1.500000
0,34.000000,148.000000,1.600000
0,34.000000,146.000000,1.700000
0,34.000000,144.000000,1.800000
0,34.000000,141.000000,1.900000
0,35.000000,139.000000,2.000000
0,35.000000,137.000000,2.100000
0,36.000000,134.000000,2.200000
0,36.000000,132.000000,2.300000
0,37.000000,130.000000,2.400000
0,37.000000,127.000000,2.500000
0,38.000000,125.000000,2.600000
0,39.000000,123.000000,2.700000
0,40.000000,120.000000,2.799999
0,40.000000,118.000000,2.899999
0,41.000000,115.000000,2.999999
